HTML File,Case,Page,Image Source,New Image,Citation,Second Line Citation
dist/journeys/case-1/43/index.html,case-1,43,https://sienaamcvoices.files.wordpress.com/2021/01/screen-shot-2021-01-21-at-4.42.47-pm.png?w=730&h=730&crop=1,https://sienaamcvoices.files.wordpress.com/2021/01/screen-shot-2021-01-21-at-4.42.47-pm.png?w=730&h=730&crop=1,Photo - Image is author owned.,"Source - Palnati M. Moments of Live. VOICES Blog Web site. https://sienaamcvoices.wordpress.com/2021/01/21/moments-of-love/. Updated January 21, 2021. Accessed March 17, 2024. "
dist/journeys/case-1/38/index.html,case-1,38,https://www.aclu.org/wp-content/uploads/2020/03/Asylum-MPP-Social-Image.jpg,https://live.staticflickr.com/4817/46002073372_1d6046047d_b.jpg,"Photo - Image by Daniel Arauz, retrieved from: https://www.flickr.com/photos/danielarauz/46002073372/in/album-72157703950209394/ on March 17, 2024. Creative Commons License associated: CC BY 2.0","Source - Reuters. In photos: US-Mexico border views in Biden era. Daily Sabah Web site. https://www.dailysabah.com/gallery/in-photos-us-mexico-border-views-in-biden-era/images?gallery_image=36292. Updated February 10, 2021. Accessed March 17, 2024."
dist/journeys/case-1/36/index.html,case-1,36,"https://www.gannett-cdn.com/presto/2019/09/19/PTX1/5be46951-3596-4450-924a-25892c2edb11-3_Mexican_Asylum_Seekers.JPG?crop=2699,1519,x0,y0&width=660&height=372&format=pjpg&auto=webp",https://live.staticflickr.com/4886/45796818221_bfe6463453_b.jpg,"Photo - Image by UNICEF, retrieved from: https://www.flickr.com/photos/unicefecu/45796818221 on March 17, 2024. Creative Commons License associated: CC BY 2.0","Source - Reuters. In photos: US-Mexico border views in Biden era. Daily Sabah Web site. https://www.dailysabah.com/gallery/in-photos-us-mexico-border-views-in-biden-era/images?gallery_image=36292. Updated February 10, 2021. Accessed March 17, 2024."
dist/journeys/case-1/31/index.html,case-1,31,"https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/newscms/2020_40/3416970/201003-honduran-migrants-honduras-mn-0920.JPG",https://live.staticflickr.com/65535/49044615882_66b195767b_b.jpg,"Photo - Image by Chris Gold, retrieved from: https://www.flickr.com/photos/chrisgold/49044615882 on March 17, 2024. Creative Commons License associated: CC BY-NC 2.0","Source - Reuters. In photos: US-Mexico border views in Biden era. Daily Sabah Web site. https://www.dailysabah.com/gallery/in-photos-us-mexico-border-views-in-biden-era/images?gallery_image=36292. Updated February 10, 2021. Accessed March 17, 2024."
dist/journeys/case-1/30/index.html,case-1,30,https://ca-times.brightspotcdn.com/dims4/default/3a041b1/2147483647/strip/true/crop/2048x1365+0+0/resize/1200x800!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F38%2F76%2F7f1e95275f49a248281927d189e2%2Fla-1559418296-e1jtz6qrhv-snap-image,https://birdinflight.com/wp-content/uploads/2016/05/dannermiller_31.jpg,"Photo - Image retrieved from: https://birdinflight.com/en/inspiration/project/20160519-keith-dannemiller-mexico.html on March 17, 2024. Permission received from Keith Dannemiller. ","Source - Kitroeff N, Cegarra A. Aboard ‘the Beast’ on a Journey to America. NYT Web site. https://www.nytimes.com/2023/05/10/world/americas/migrants-beast-train-mexico.html. Updated May 10, 2023. Accessed March 17, 2024. "
dist/journeys/case-1/24/index.html,case-1,24,https://cdn.kpbs.org/img/photos/2012/01/16/ALISA2.JPG,https://cdn.kpbs.org/img/photos/2012/01/16/ALISA2.JPG,"Photo - Image retrieved from: https://www.kpbs.org/news/border-immigration/2012/01/17/editors-notebook-exploring-day-ciudad-juarez on March 17, 2024. Permission received from Alisa Barba. ",
dist/journeys/case-1/23/index.html,case-1,23,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/UPVMX4XDBNKQPFNG2FRLSGBUAY.jpg,https://arkansasworker.com/wp-content/uploads/2022/03/imperialism_and_weaponization_of_empathy_arkansasworker.jpg,"Photo - Image by Peg Hunter, retrieved from: https://www.flickr.com/photos/43005015@N06/38414076002/in/album-72157689622709735/ on March 17, 2024. Creative Commons License associated: CC BY-NC 2.0","Source - Reuters. In photos: US-Mexico border views in Biden era. Daily Sabah Web site. https://www.dailysabah.com/gallery/in-photos-us-mexico-border-views-in-biden-era/images?gallery_image=36292. Updated February 10, 2021. Accessed March 17, 2024."
dist/journeys/case-1/15/index.html,case-1,15,"https://media.cnn.com/api/v1/images/stellar/prod/181027215155-02-migrant-caravan-stories.jpg?q=x_88,y_0,h_1080,w_1440,c_crop",https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/1909/5786490/1000w_q95.jpg ,"Photo - Image by Mani Albrecht, retrieved from: https://nara.getarchive.net/media/us-border-patrol-agents-render-medical-aid-to-a-migrant-1f077d on March 17, 2024. Image is in the public domain. ",
dist/journeys/case-1/13/index.html,case-1,13,https://www.migrationpolicy.org/sites/default/files/source_images/Source-Smugglers-2020.jpg,https://www.migrationpolicy.org/sites/default/files/source_images/Source-Smugglers-2020.jpg,"Photo - Image by Customs and Border Protection, retrieved from: https://www.migrationpolicy.org/article/ally-or-exploiter-smuggler-migrant-relationship-complex-one on March 17, 2024. Image is in the public domain.  ",
dist/journeys/case-1/14/index.html,case-1,14,https://ca-times.brightspotcdn.com/dims4/default/3a041b1/2147483647/strip/true/crop/2048x1365+0+0/resize/1200x800!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F38%2F76%2F7f1e95275f49a248281927d189e2%2Fla-1559418296-e1jtz6qrhv-snap-image,https://birdinflight.com/wp-content/uploads/2016/05/dannermiller_31.jpg,"Photo - Image retrieved from: https://birdinflight.com/en/inspiration/project/20160519-keith-dannemiller-mexico.html on March 17, 2024. Permission received from Keith Dannemiller. ","Source - Kitroeff N, Cegarra A. Aboard ‘the Beast’ on a Journey to America. NYT Web site. https://www.nytimes.com/2023/05/10/world/americas/migrants-beast-train-mexico.html. Updated May 10, 2023. Accessed March 17, 2024. "
dist/journeys/case-1/22/index.html,case-1,22,https://static01.nyt.com/images/2023/02/15/multimedia/00childlabor-border-klzc/00childlabor-border-klzc-superJumbo.jpg?quality=75&auto=webp,https://static01.nyt.com/images/2023/02/15/multimedia/00childlabor-border-klzc/00childlabor-border-klzc-superJumbo.jpg?quality=75&auto=webp,"Photo - Image retrieved from: https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html on March 17, 2024. Permission recieved from Kristen Luce. ",
dist/journeys/case-1/25/index.html,case-1,25,https://idsb.tmgrup.com.tr/ly/uploads/images/2021/02/10/thumbs/871x871/92209.jpg,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTAzL2ZsNDgwOTIwMzA4NzgtaW1hZ2UuanBn.jpg,"Photo - Image by Kris Grogan, retrieved from: https://www.rawpixel.com/image/8741513/photo-image-plant-public-domain-people on March 17, 2024. Image is in the public domain.  ",
